Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
County,Beltrami,2015,45873.00,17491.00,2.5
County,Benton,2015,39739.00,15686.00,2.47
County,Big Stone,2015,5054.00,2235.00,2.2
County,Blue Earth,2015,66179.00,25703.00,2.41
County,Brown,2015,25434.00,10846.00,2.24
County,Carlton,2015,35635.00,13667.00,2.46
County,Carver,2015,98798.00,35510.00,2.75
County,Cass,2015,28718.00,12067.00,2.36
County,Chippewa,2015,12117.00,5167.00,2.3
County,Chisago,2015,54332.00,19871.00,2.65
County,Clay,2015,62181.00,23844.00,2.47
County,Clearwater,2015,8802.00,3582.00,2.43
County,Cook,2015,5219.00,2552.00,2.03
County,Cottonwood,2015,11575.00,4851.00,2.33
County,Crow Wing,2015,63481.00,26577.00,2.36
County,Dakota,2015,414490.00,159189.00,2.58
County,Dodge,2015,20378.00,7611.00,2.66
County,Douglas,2015,37103.00,15904.00,2.3
County,Faribault,2015,13945.00,6156.00,2.23
County,Fillmore,2015,20826.00,8573.00,2.39
County,Freeborn,2015,30642.00,13071.00,2.3
County,Goodhue,2015,46611.00,19060.00,2.4
County,Grant,2015,5872.00,2592.00,2.24
County,Hennepin,2015,1221703.00,504178.00,2.37
County,Houston,2015,18788.00,7961.00,2.33
County,Hubbard,2015,20679.00,8810.00,2.33
County,Isanti,2015,38521.00,14334.00,2.66
County,Itasca,2015,45658.00,19206.00,2.32
County,Jackson,2015,10113.00,4425.00,2.26
County,Kanabec,2015,15908.00,6347.00,2.47
County,Kandiyohi,2015,42510.00,16888.00,2.45
County,Kittson,2015,4422.00,1942.00,2.22
County,Koochiching,2015,12889.00,5832.00,2.17
County,Lac qui Parle,2015,6866.00,3048.00,2.2
County,Lake,2015,10634.00,4803.00,2.17
County,Lake of the Woods,2015,3925.00,1763.00,2.19
County,Le Sueur,2015,27704.00,10836.00,2.53
County,Lincoln,2015,5770.00,2540.00,2.22
County,Lyon,2015,25776.00,10322.00,2.39
County,McLeod,2015,35930.00,14600.00,2.43
County,Mahnomen,2015,5456.00,2012.00,2.67
County,Marshall,2015,9417.00,3990.00,2.34
County,Martin,2015,20122.00,8905.00,2.22
County,Meeker,2015,23110.00,9177.00,2.48
County,Mille Lacs,2015,25788.00,10134.00,2.49
County,Morrison,2015,32786.00,13100.00,2.46
County,Mower,2015,39181.00,15865.00,2.43
County,Murray,2015,8418.00,3657.00,2.26
County,Nicollet,2015,33432.00,12608.00,2.42
County,Nobles,2015,21743.00,8024.00,2.66
County,Norman,2015,6666.00,2776.00,2.35
County,Olmsted,2015,151388.00,59862.00,2.49
